loan_id,customer_id,disbursement_date,loan_amount,interest_rate,term_months,product_type_id,channel_id,dsa_id,region_id,loan_status,total_received,credit_score,created_at,updated_at
LN000001,25795,11/24/23,71000000,5.96,36,1,3,1058,2,Approved,83694800,Medium,11/24/23 22:32,11/27/23 22:32
LN000002,10860,2/27/23,448000000,19.27,36,1,3,634,3,Charged-off,706988800,Medium,2/27/23 21:07,3/6/23 21:07
LN000003,86820,1/13/23,469000000,14.69,60,1,1,1140,3,Approved,813480500,Medium,1/13/23 10:46,1/24/23 10:46
LN000004,64886,5/21/23,382000000,22.62,60,2,1,1443,3,Approved,814042000,High,5/21/23 13:48,6/12/23 13:48
LN000005,16265,5/6/23,306000000,18.04,12,2,3,149,2,Approved,361202400,Low,5/6/23 3:18,5/27/23 3:18
LN000006,92386,4/25/23,319000000,18.85,24,2,2,1558,3,Approved,439263000,Low,4/25/23 0:26,4/29/23 0:26
LN000007,47194,3/13/23,140000000,20.35,36,2,3,199,3,Approved,225470000,High,3/13/23 1:46,4/2/23 1:46
LN000008,97498,2/22/23,184000000,13.41,48,2,3,1040,3,Approved,282697600,Medium,2/22/23 16:56,3/11/23 16:56
LN000009,54131,12/13/23,387000000,20.85,12,3,3,942,3,Approved,467689500,High,12/13/23 16:43,12/22/23 16:43
LN000010,70263,10/7/23,465000000,6.01,36,2,1,1151,3,Approved,548839500,High,10/7/23 16:55,10/17/23 16:55
LN000011,26023,2/14/23,209000000,20.31,24,2,3,772,1,Approved,293895800,Medium,2/14/23 6:42,2/22/23 6:42
LN000012,51090,10/30/23,306000000,17.73,24,2,3,1679,1,Approved,414507600,Medium,10/30/23 21:55,11/19/23 21:55
LN000013,77221,8/5/23,378000000,16.33,24,2,2,1101,3,Approved,501454800,High,8/5/23 5:47,8/19/23 5:47
LN000014,74820,1/17/23,407000000,11.36,36,2,3,1459,2,Approved,545705600,Low,1/17/23 2:30,1/17/23 2:30
LN000015,10769,1/16/23,167000000,7.28,24,2,1,1905,1,Charged-off,191315200,Medium,1/16/23 16:56,2/7/23 16:56
LN000016,69735,2/17/23,32000000,17.94,48,2,1,383,1,Approved,54963200,High,2/17/23 11:56,3/9/23 11:56
LN000017,72955,4/22/23,123000000,14.43,24,3,1,398,3,Approved,158497800,Low,4/22/23 2:07,5/18/23 2:07
LN000018,74925,4/30/23,396000000,9.36,12,2,2,321,1,Approved,433065600,Medium,4/30/23 7:42,5/10/23 7:42
LN000019,77969,9/16/23,258000000,5.87,48,2,3,2186,3,Approved,318578400,Low,9/16/23 14:18,9/16/23 14:18
LN000020,15311,11/5/23,470000000,15.78,12,3,3,39,1,,544166000,Low,11/5/23 2:56,11/25/23 2:56
LN000021,93104,1/14/23,360000000,7.53,12,1,2,702,3,Approved,387108000,Low,1/14/23 19:38,1/14/23 19:38
LN000022,63707,10/15/23,48000000,23.59,60,3,1,382,2,Approved,104616000,High,10/15/23 22:38,10/26/23 22:38
LN000023,95305,4/12/23,434000000,8.01,60,2,1,1208,2,Approved,607817000,Medium,4/12/23 6:07,5/7/23 6:07
LN000024,38693,11/29/23,255000000,5.64,24,1,2,2167,2,Approved,283764000,Low,11/29/23 1:32,12/27/23 1:32
LN000025,81932,12/26/23,234000000,10.24,48,1,3,2038,3,Approved,329846400,High,12/26/23 5:00,1/9/24 5:00
LN000026,35658,10/7/23,156000000,8.5,36,2,2,1282,2,Approved,195780000,High,10/7/23 23:43,10/15/23 23:43
LN000027,94478,8/3/23,392000000,20.82,60,3,3,2171,1,Approved,800072000,Medium,8/3/23 11:23,8/24/23 11:23
LN000028,28431,4/23/23,22000000,10.79,48,1,2,454,1,Approved,31495200,Medium,4/23/23 21:13,5/3/23 21:13
LN000029,12747,8/18/23,40000000,9.9,60,2,3,1986,3,,59800000,Medium,8/18/23 19:55,9/9/23 19:55
LN000030,69150,10/29/23,336000000,24.9,48,3,1,1623,1,Charged-off,670656000,High,10/29/23 20:23,11/14/23 20:23
LN000031,75725,5/23/23,406000000,8,24,2,3,811,1,Approved,470960000,Medium,5/23/23 2:25,6/22/23 2:25
LN000032,94654,1/4/23,291000000,6.7,12,3,1,1164,1,Approved,310497000,Medium,1/4/23 20:09,1/5/23 20:09
LN000033,45773,3/23/23,468000000,11.11,60,2,1,289,3,Charged-off,727974000,Medium,3/23/23 6:46,4/7/23 6:46
LN000034,77435,12/24/23,145000000,13.1,12,1,3,986,3,Approved,163995000,High,12/24/23 17:36,1/6/24 17:36
